WS,Element
Sesion5,CAR.Cementerio-3_R3
Sesion5,CAR.Olaya-2_M1
Sesion5,CAR.Palmeras-2_L3
Sesion5,CAR.San Francisco-2_L3
Sesion5,CAR.Villa Lorena-4_L2
Sesion5,CAR.Villa Lorena-4_T1
Sesion5,BAR.Aeropuerto_R1
Sesion5,BAR.El Golf_T1
Sesion5,BAR.El Golf_T2
Sesion5,BAR.Gran Centro-2_T2
Sesion5,BAR.Juan Mina_R1
Sesion5,BAR.RB Carrizal_M4
Sesion5,BAR.RB Granabastos:H1_T1
Sesion5,BAR.Suri Salcedo_M2
Sesion5,BAR.Via 40-5_L1
Sesion5,BAR.Villa Argelia_R2
Sesion5,BAR.Villa Estadio_R3
Sesion5,BAR.Villa Santos-2_M3
Sesion5,BAR.Zona Franca-2_T2
Sesion5,BOL.Arenal del Sur_T3
Sesion5,BOL.Hatillo de Loba_L1
Sesion5,BOL.Magangue-3_T3
Sesion5,BOL.Turbaco-5_M1
